ID,GRAD_YEAR,AOC_num,AOC,DIVISION,Industry2,Position,Org_Name
484,2015,1,Environmental Studies,Interdisciplinary,Government and Social Services,GIS Intern,Orange County Environmental Protection Division
485,2017,1,Environmental Studies,Interdisciplinary,Health and Medicine,Health Assistant,Planned Parenthood
486,2003,1,Environmental Studies,Interdisciplinary,Arts and Media,Producer,unknown
486,2003,2,Performance Studies,Interdisciplinary,Arts and Media,Producer,unknown
487,2014,1,Environmental Studies,Interdisciplinary,Education,NA,PhD Candidate in Anthropology
487,2014,2,Anthropology,Social Sciences,Education,NA,PhD Candidate in Anthropology
488,2015,1,Environmental Studies,Interdisciplinary,Education,Educator,Orlando Science Center
488,2015,2,Anthropology,Social Sciences,Education,Educator,Orlando Science Center
489,2002,1,Environmental Studies,Interdisciplinary,Education,Assistant Professor,Illinois State University
489,2002,2,Economics,Social Sciences,Education,Assistant Professor,Illinois State University
490,2007,1,Marine Biology,Natural Sciences,Education,Graduate Assistant,University of FL-Program of Fisheries & Aquatic Sciences
490,2007,2,Environmental Studies,Interdisciplinary,Education,Graduate Assistant,University of FL-Program of Fisheries & Aquatic Sciences
491,2020,1,Urban Studies,Interdisciplinary,Government and Social Services,Planning and Development Services Intern,Sarasota County Government
491,2020,2,Environmental Studies,Interdisciplinary,Government and Social Services,Planning and Development Services Intern,Sarasota County Government
492,2010,1,Urban Studies,Interdisciplinary,Government and Social Services,Multifamily Underwriter,Georgia Department of Community Affairs
492,2010,2,Environmental Studies,Interdisciplinary,Government and Social Services,Multifamily Underwriter,Georgia Department of Community Affairs
493,2007,1,Foreign Languages and Literatures,Humanities,Other,NA,Unemployed
494,2008,1,Classics,Humanities,Arts and Media,NA,Unknown
494,2008,2,Foreign Languages and Literatures,Humanities,Arts and Media,NA,Unknown
495,2008,1,Foreign Languages and Literatures,Humanities,Education,Translator,Univeristy of Leipzig
495,2008,2,Performance Studies,Interdisciplinary,Education,Translator,Univeristy of Leipzig
496,2006,1,French,Humanities,Education,Librarian,Boston Public Library
497,2013,1,French,Humanities,Education,Teaching Assistant,TAPIF
498,2009,1,English,Humanities,Government and Social Services,Associate,"Barrasso Usdin Kupperman Freeman & Sarver, LLC"
498,2009,2,French,Humanities,Government and Social Services,Associate,"Barrasso Usdin Kupperman Freeman & Sarver, LLC"
499,2012,1,English,Humanities,Education,Assistant Resident Director,Berklee College of Music
499,2012,2,French,Humanities,Education,Assistant Resident Director,Berklee College of Music
500,2013,1,English,Humanities,"Business, Finance, and Retail",Freelance Writer,Freelance Copywriter
500,2013,2,French,Humanities,"Business, Finance, and Retail",Freelance Writer,Freelance Copywriter
501,2009,1,French,Humanities,Arts and Media,NA,Freelance Director
501,2009,2,Environmental Studies,Interdisciplinary,Arts and Media,NA,Freelance Director
502,2006,1,Gender Studies,Social Sciences,Arts and Media,Associate Artistic Director,Austin Film Society
502,2006,2,French,Humanities,Arts and Media,Associate Artistic Director,Austin Film Society
503,2019,1,Gender Studies,Social Sciences,Arts and Media,Assistant Director of Housing,Kansas City Art Institute
504,2019,1,Spanish Language and Literature,Humanities,STEM,Events & Community Calendar,Holochain
504,2019,2,Gender Studies,Social Sciences,STEM,Events & Community Calendar,Holochain
505,2020,1,Music,Humanities,Arts and Media,Assistant Studio Manager,A2f Studios
505,2020,2,Gender Studies,Social Sciences,Arts and Media,Assistant Studio Manager,A2f Studios
506,2010,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Marketing and Communications Coordinator,StoryKeep
507,2008,1,Interdisciplinary,Interdisciplinary,STEM,Software QA Engineer,Notarize Inc
508,2008,1,Interdisciplinary,Interdisciplinary,Other,Realtor,Coldwell Banker
509,2015,1,Interdisciplinary,Interdisciplinary,Arts and Media,Arts Administration,Sarasota Key Chorale
510,2010,1,Interdisciplinary,Interdisciplinary,STEM,Bike Mechanic,Unknown
511,2002,1,Interdisciplinary,Interdisciplinary,Health and Medicine,Owner,Chaturanga Holistic Fitness
512,2004,1,Interdisciplinary,Interdisciplinary,Education,Teacher / secondary,Unknown
513,2008,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Owner,Rogue Promotions LLC
514,2008,1,Interdisciplinary,Interdisciplinary,Arts and Media,Producer,KUOW Public Radio
515,2009,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Bartender,Stanfords Restaurant
516,2002,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Founder/Owner,Seeds of Change Mala
517,2010,1,Interdisciplinary,Interdisciplinary,STEM,Recruiting Manager,Defenders of Wildlife
518,2002,1,Interdisciplinary,Interdisciplinary,STEM,California Desert Field Representative,National Parks Conservation Association
519,2007,1,Interdisciplinary,Interdisciplinary,STEM,Research Analyst,Park Associates
520,2014,1,Interdisciplinary,Interdisciplinary,Education,Design Consultant,NSCAD University
521,2002,1,Interdisciplinary,Interdisciplinary,Education,Librarian,Jacksonville Library System
522,2009,1,Interdisciplinary,Interdisciplinary,Education,Research Coordinator,University of Florida
523,2007,1,Interdisciplinary,Interdisciplinary,Government and Social Services,Student & Clinical Social Work intern,UCSF Alliance Health Project
524,2011,1,Interdisciplinary,Interdisciplinary,Health and Medicine,NA,UMass Amherst Center for Counseling & Psychological Health
525,2005,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Founder & Proprietor,Bee Hunter Wine
526,2013,1,Interdisciplinary,Interdisciplinary,Education,English Assistant,TAPIF
527,2009,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Oracle Consultant,Business & Decision
528,2002,1,Interdisciplinary,Interdisciplinary,Government and Social Services,Law Office Manager,P. Scott Russell P.A.
529,2013,1,Interdisciplinary,Interdisciplinary,STEM,NA,Trustwave
530,2004,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Concierge,Castle Group
531,2006,1,Interdisciplinary,Interdisciplinary,Other,Food Truck operator,The Lunch Pad
532,2014,1,Interdisciplinary,Interdisciplinary,Government and Social Services,Tutor / Teaching,Americorp
533,2016,1,Interdisciplinary,Interdisciplinary,Government and Social Services,GIS Systems Analyst II,Manatee County - Building and Development Services Dept
534,2002,1,Interdisciplinary,Interdisciplinary,STEM,Designer,LEED AP
535,2004,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Lifestyle Consultant,Ra(y)ndomness Enterprises
536,2006,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Front Desk Receptionist,Habitat Suites Hotel
537,2005,1,German Language and Literature,Humanities,Education,University lecturer,University of Passau
538,2015,1,Psychology,Social Sciences,Education,Tutor,IMG Academy
538,2015,2,German Language and Literature,Humanities,Education,Tutor,IMG Academy
539,2007,1,German Language and Literature,Humanities,Education,Teaching,Unknown
540,2007,1,Humanities,Humanities,STEM,Sr. Research Associate,Investor Management Services
540,2007,2,German Language and Literature,Humanities,STEM,Sr. Research Associate,Investor Management Services
541,2007,1,Spanish Language and Culture,Humanities,Government and Social Services,NA,Intraespa Inc.
542,2003,1,Economics,Social Sciences,Other,NA,unknown
542,2003,2,Spanish Language and Culture,Humanities,Other,NA,unknown
543,2005,1,Spanish Language and Culture,Humanities,Government and Social Services,Public Programs Coordinator,Smithsonian National Postal Museum
544,2006,1,History,Social Sciences,Government and Social Services,Assoc Director Prospect Management,New College of Florida
545,2012,1,History,Social Sciences,Arts and Media,Archivist,Ringling College of Art & Design
546,2009,1,History,Social Sciences,Arts and Media,Media Supervisor,Blue Sky Agency
547,2011,1,History,Social Sciences,Education,High School Teacher,Chamberlain High School
548,2014,1,History,Social Sciences,"Business, Finance, and Retail",Communications Specialist,The Boston Consulting Group
549,2013,1,History,Social Sciences,Government and Social Services,"Finance, Administrative Program Manager",East Bay Community Foundation
550,2016,1,History,Social Sciences,Education,NA,Library of Congress
551,2020,1,History,Social Sciences,Government and Social Services,Executive Administrative Assistant,The Guatemalan-Maya Center
552,2003,1,History,Social Sciences,Education,Student,AMU's Washington College of Law
553,2002,1,History,Social Sciences,STEM,Webmaster,Grapevine Communications
554,2017,1,History,Social Sciences,Arts and Media,Production/Programming Assistant,WSLR Community Radio Station
555,2006,1,History,Social Sciences,Government and Social Services,Attorney,State Attorney
556,2002,1,History,Social Sciences,Government and Social Services,Copyright Acquisitions Librarian,Library of Congress
557,2017,1,History,Social Sciences,Education,NA,Unknown
558,2012,1,History,Social Sciences,Arts and Media,Graphic Design Associate,Asolo Theatre
559,2005,1,History,Social Sciences,Education,TEFL Teacher,Unknown
560,2005,1,History,Social Sciences,Government and Social Services,Deputy Law Clerk,Pennsylvania Superior Court
561,2011,1,History,Social Sciences,Government and Social Services,Caseworker,A Better Chance for Our Children
562,2006,1,History,Social Sciences,Education,Curatorial Affairs Department Coordinator,Florida Holocaust Museum
563,2017,1,History,Social Sciences,STEM,NA,Freelance Virtual Assistant
564,2006,1,History,Social Sciences,STEM,Archivist,Mote Marine Laboratory
565,2007,1,History,Social Sciences,"Business, Finance, and Retail",Co-Founder,VidIQ
566,2004,1,History,Social Sciences,STEM,"Owner, Graphic Designer",Sarah Suski Design
567,2010,1,History,Social Sciences,"Business, Finance, and Retail",Sales Associate,JCPenney
567,2010,2,Economics,Social Sciences,"Business, Finance, and Retail",Sales Associate,JCPenney
568,2010,1,History,Social Sciences,Government and Social Services,Development Education Specialist,Peace Corps
568,2010,2,International and Area Studies,Interdisciplinary,Government and Social Services,Development Education Specialist,Peace Corps
569,2009,1,Political Science,Social Sciences,Government and Social Services,Partner,"Kaufman Dolowich & Voluck, LLP"
569,2009,2,History,Social Sciences,Government and Social Services,Partner,"Kaufman Dolowich & Voluck, LLP"
570,2018,1,History,Social Sciences,STEM,Media Data Engineer,GMMB
571,2012,1,History,Social Sciences,Education,Teacher,New Gate School
571,2012,2,Biology,Natural Sciences,Education,Teacher,New Gate School
572,2008,1,English,Humanities,Arts and Media,Freelance Editor,Self Employed
572,2008,2,History,Social Sciences,Arts and Media,Freelance Editor,Self Employed
573,2004,1,Economics,Social Sciences,Government and Social Services,"Senior Director, Research & Issue Networks",US Chamber of Commerce Foundation
573,2004,2,History,Social Sciences,Government and Social Services,"Senior Director, Research & Issue Networks",US Chamber of Commerce Foundation
574,2008,1,History,Social Sciences,Government and Social Services,Policy Analyst,Texas Sunset Advisory Commission
574,2008,2,Environmental Studies,Interdisciplinary,Government and Social Services,Policy Analyst,Texas Sunset Advisory Commission
575,2007,1,Gender Studies,Social Sciences,Health and Medicine,Physical Therapist Assistant,Roane State Community College
575,2007,2,History,Social Sciences,Health and Medicine,Physical Therapist Assistant,Roane State Community College
576,2004,1,Gender Studies,Social Sciences,Government and Social Services,Associate,"Paul, Weiss, Rifkind, Wharton & Garrison LLP"
576,2004,2,History,Social Sciences,Government and Social Services,Associate,"Paul, Weiss, Rifkind, Wharton & Garrison LLP"
577,2015,1,History,Social Sciences,"Business, Finance, and Retail",Mortgage Originator,Mortgage Originator
577,2015,2,German Language and Literature,Humanities,"Business, Finance, and Retail",Mortgage Originator,Mortgage Originator
578,2012,1,International and Area Studies,Interdisciplinary,Arts and Media,NA,Classic Collectible Service
578,2012,2,History,Social Sciences,Arts and Media,NA,Classic Collectible Service
579,2011,1,Mathematics,Natural Sciences,"Business, Finance, and Retail",Data Scientist,Charles Schwab
579,2011,2,History,Social Sciences,"Business, Finance, and Retail",Data Scientist,Charles Schwab
580,2011,1,History,Social Sciences,Government and Social Services,Attorney,Mawn Law Consulting
580,2011,2,Sociology,Social Sciences,Government and Social Services,Attorney,Mawn Law Consulting
581,2015,1,Humanities,Humanities,Education,English Tutor,Sarasota Literacy Council
582,2012,1,Humanities,Humanities,Government and Social Services,Director of Programs,National Alliance of Mental Illness - Miami
583,2007,1,Humanities,Humanities,"Business, Finance, and Retail",Financial Services Representative,New York Life
584,2007,1,Humanities,Humanities,Government and Social Services,Technology & Human Rights Law,Unknown
585,2002,1,Humanities,Humanities,Arts and Media,Copy Editor/Web Manager,Herald-Tribune Media Group
586,2019,1,Humanities,Humanities,Education,Teacher Assistant,Shorecrest Preparatory School
587,2013,1,Humanities,Humanities,Arts and Media,Video Game Translator,INLINGO
588,2013,1,Humanities,Humanities,Government and Social Services,City Year Corps Member,City Year
589,2015,1,Humanities,Humanities,"Business, Finance, and Retail",Associate,Sur La Table
590,2007,1,Humanities,Humanities,Government and Social Services,Development and Audience Relations Coordinator,American Youth Symphony
591,2004,1,Humanities,Humanities,Education,Graduate Teaching Assistant,University of Alaska
592,2013,1,Humanities,Humanities,Health and Medicine,Dance and Fitness Instructor,Reflex Arts
593,2003,1,Humanities,Humanities,Education,English Teacher / Japan,Japan Exchange and Teaching Program
594,2010,1,Humanities,Humanities,Education,Architecture River Tour Docent,Shoreline Sightseeing
595,2002,1,Humanities,Humanities,STEM,Artist in Residence,Boston Biomedical Research Institute
596,2009,1,Humanities,Humanities,Education,Substitute Teacher,Kelly Educational Staffing
597,2013,1,Humanities,Humanities,"Business, Finance, and Retail",Cat caretaker,Cat Depot
598,2011,1,Humanities,Humanities,Education,Educator/Graduate Student,City College of New York
599,2013,1,Humanities,Humanities,Education,Office Manager,New College of Florida
600,2015,1,Humanities,Humanities,Arts and Media,Ticket Agent,Sarasota Orchestra
601,2013,1,Humanities,Humanities,Education,Work Crew,New College of Florida
602,2002,1,Humanities,Humanities,Government and Social Services,Mgr - Organizational Communication,Johnson & Johnson
603,2015,1,Humanities,Humanities,Education,Library Assistant,Sarasota County Library Assistant
604,2003,1,Humanities,Humanities,Arts and Media,NA,Jaymay Music
605,2009,1,Humanities,Humanities,STEM,Webmaster,USF-Sarasota-Manatee
606,2013,1,Humanities,Humanities,Arts and Media,Assistant Editor/Translator,Ann Savoy Cajun Anthology
607,2003,1,Humanities,Humanities,Arts and Media,Self Employed Artist and Teacher,RADLabs
608,2003,1,Humanities,Humanities,Arts and Media,Reporter,Sarasota Herald Tribune
609,2016,1,Humanities,Humanities,Education,Teacher of Record,Clemson University
610,2010,1,Humanities,Humanities,"Business, Finance, and Retail",Store Manager,American Apparel
611,2013,1,Humanities,Humanities,Education,Art Teacher,Arts in Action
612,2009,1,Humanities,Humanities,Government and Social Services,Operations Manager,Triangle Community Foundation
613,2008,1,Humanities,Humanities,Education,Special Education Teacher,"Bronx School for Law, Government and Justice"
614,2015,1,Humanities,Humanities,Arts and Media,Office Assistant,Tattoo Promotion Factory
615,2004,1,Humanities,Humanities,"Business, Finance, and Retail",Front Desk Supervisor,Hampton Inn
616,2012,1,Humanities,Humanities,STEM,Software Development Lead,Driftcatcher LLC
617,2018,1,Humanities,Humanities,Education,Education Technician,PSL Services/STRIVE
618,2003,1,Humanities,Humanities,Government and Social Services,Administration Officer,Alzheimer's Association Queensland
619,2012,1,Humanities,Humanities,"Business, Finance, and Retail",NA,Coffee Shop
620,2002,1,Humanities,Humanities,Government and Social Services,NA,Peace Corps
621,2007,1,Humanities,Humanities,"Business, Finance, and Retail",Director of Marketing,William Morris Endeavor
622,2004,1,Humanities,Humanities,Health and Medicine,Licensed Optician,Florida Eye Clinic
623,2004,1,Humanities,Humanities,Education,Research Associate for Teacher Education Assessmen,Appalachian State Unviersity
624,2011,1,Humanities,Humanities,Education,Reference Librarian,Springfield City Library
625,2004,1,Humanities,Humanities,Education,Instructor of Writing and Rhetoric,Florida International University
626,2005,1,Humanities,Humanities,Health and Medicine,Research Program Coordinator,Center for Adolescent Health - Johns Hopkins
627,2017,1,Humanities,Humanities,Education,Resident Assistant,New York Film Academy
628,2006,1,Humanities,Humanities,Government and Social Services,Law Librarian,Manatee Clerk of the Circuit Court
629,2012,1,Humanities,Humanities,Arts and Media,Energy & Transportation Reporter,Freelance
630,2006,1,Humanities,Humanities,STEM,Software Developer,"Quadrant 2, Inc."
631,2003,1,Humanities,Humanities,Arts and Media,Music and Performance Coordinator,Path with Art
632,2003,1,Humanities,Humanities,Education,Teacher,Oakland Unified School District
633,2015,1,Humanities,Humanities,Government and Social Services,AmeriCorps Member,AmeriCorps
634,2004,1,Humanities,Humanities,"Business, Finance, and Retail",Health Care Policy Analyst,"Green Mountain Care Board, State of Vermont"
635,2006,1,Humanities,Humanities,STEM,Support Rep,Airtime
636,2009,1,Humanities,Humanities,Health and Medicine,Project Manager,Cerner Corporation
637,2005,1,Humanities,Humanities,Education,Research Assistant,University of South Florida
638,2020,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Founder,Breaking The Code
639,2003,1,International and Area Studies,Interdisciplinary,Other,Homemaker,unknown
640,2011,1,International and Area Studies,Interdisciplinary,STEM,Delivery Coordinator,CCG Analytics
641,2015,1,International and Area Studies,Interdisciplinary,Education,English Teacher,International Sunshine Home
642,2005,1,International and Area Studies,Interdisciplinary,Health and Medicine,Therapist,Cascadian Health
643,2013,1,International and Area Studies,Interdisciplinary,Government and Social Services,Senior Project Manager,Goethe Institut e.V
644,2014,1,International and Area Studies,Interdisciplinary,Government and Social Services,Refugee/Child Social Work,Horn of Africa Services / Americorps
645,2012,1,International and Area Studies,Interdisciplinary,Other,Intern,Unknown
646,2015,1,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Real Estate Agent,Exit Bayshore Realty
647,2013,1,International and Area Studies,Interdisciplinary,Government and Social Services,Family Law Facilitator/Self-Help Center Attorney,Lake County Superior Court
648,2010,1,International and Area Studies,Interdisciplinary,Education,Lead Teacher,Mundo Verde PCS
649,2017,1,International and Area Studies,Interdisciplinary,Education,NA,Unknown
649,2017,2,Chinese Language and Culture,Humanities,Education,NA,Unknown
650,2012,1,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Director of Project Management,"GrantWorks, Inc."
650,2012,2,Chinese Language and Culture,Humanities,"Business, Finance, and Retail",Director of Project Management,"GrantWorks, Inc."
651,2018,1,International and Area Studies,Interdisciplinary,Government and Social Services,"Asst. Dir. for Partnerships, Development team",Washington Office on Latin America (WOLA)
651,2018,2,Political Science,Social Sciences,Government and Social Services,"Asst. Dir. for Partnerships, Development team",Washington Office on Latin America (WOLA)
652,2015,1,International and Area Studies,Interdisciplinary,STEM,Account Executive,GPS Industries
652,2015,2,Economics,Social Sciences,STEM,Account Executive,GPS Industries
653,2013,1,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Sales Associate,Lush
653,2013,2,Economics,Social Sciences,"Business, Finance, and Retail",Sales Associate,Lush
654,2015,1,International and Area Studies,Interdisciplinary,Health and Medicine,Perinatal Case Manager,La Clinica de La Raza
654,2015,2,Economics,Social Sciences,Health and Medicine,Perinatal Case Manager,La Clinica de La Raza
655,2019,1,International and Area Studies,Interdisciplinary,STEM,Solutions Consultant,Advanced Technology Group
655,2019,2,Economics,Social Sciences,STEM,Solutions Consultant,Advanced Technology Group
656,2012,1,French,Humanities,Education,English Teacher,TAPIF
656,2012,2,International and Area Studies,Interdisciplinary,Education,English Teacher,TAPIF
657,2013,1,Gender Studies,Social Sciences,"Business, Finance, and Retail",Email Marketing Manager,Public Library of Science
657,2013,2,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Email Marketing Manager,Public Library of Science
658,2013,1,Political Science,Social Sciences,"Business, Finance, and Retail",Intern,Institute for Multi-Trade Diplomacy
658,2013,2,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Intern,Institute for Multi-Trade Diplomacy
659,2009,1,Political Science,Social Sciences,"Business, Finance, and Retail",Branch Service Leader,Regions Bank
659,2009,2,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Branch Service Leader,Regions Bank
660,2016,1,Political Science,Social Sciences,STEM,NA,Samasource
660,2016,2,International and Area Studies,Interdisciplinary,STEM,NA,Samasource
661,2013,1,International and Area Studies,Interdisciplinary,"Business, Finance, and Retail",Intern,Institute for Multi-Trade Diplomacy
661,2013,2,Russian Language and Literature,Humanities,"Business, Finance, and Retail",Intern,Institute for Multi-Trade Diplomacy
662,2020,1,Urban Studies,Interdisciplinary,Government and Social Services,Assistant City Planner,City of McCall
662,2020,2,International and Area Studies,Interdisciplinary,Government and Social Services,Assistant City Planner,City of McCall
663,2008,1,Languages and Literature,Interdisciplinary,Government and Social Services,Law Student,University of Illinois
664,2009,1,Interdisciplinary,Interdisciplinary,Education,NA,Unknown
665,2020,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Marketing and Social Media Coordinator,Fat Dog Spirits
666,2013,1,Literature,Humanities,Education,Au Pair,Self Employed
667,2012,1,Literature,Humanities,"Business, Finance, and Retail",Owner,Two Sisters Baking Co.
668,2013,1,Literature,Humanities,Arts and Media,Senior Copy Editor,Feld Entertainment
669,2003,1,Literature,Humanities,"Business, Finance, and Retail",Event Planner,The Catering Company of Chapel Hill
670,2008,1,Literature,Humanities,Arts and Media,Production Supervisor,Workman Publishin
671,2006,1,Literature,Humanities,Arts and Media,Reporter,The Japan Times
672,2010,1,Literature,Humanities,Education,Library Assistant,New College of Florida
673,2014,1,Literature,Humanities,Arts and Media,Head Writer,Petro Global News
674,2013,1,Literature,Humanities,"Business, Finance, and Retail",Digital Marketing Specialist,Colliers International
675,2012,1,Literature,Humanities,Education,Executive Assistant/Tutoring Coordinator,IMG Pendelton Academy
676,2020,1,Literature,Humanities,"Business, Finance, and Retail",Business Development Associate,Northspyre
677,2005,1,Literature,Humanities,Education,NA,Unknown
678,2011,1,Literature,Humanities,"Business, Finance, and Retail",Receptionist,LT Apparel
679,2002,1,Literature,Humanities,Education,Reference Archivist,Texas State Library and Archives Commision
680,2003,1,Literature,Humanities,Education,Teacher,Graded-American School of Sao Paulo
681,2008,1,Literature,Humanities,Arts and Media,Copywriter/Community Manager,Mutt Industries
682,2011,1,Literature,Humanities,Government and Social Services,Development Coordinator,Maryland Historical Society
683,2005,1,Literature,Humanities,Education,Admin. Assistant,Tufts University
684,2016,1,Literature,Humanities,"Business, Finance, and Retail",NA,Unknown
685,2006,1,Literature,Humanities,"Business, Finance, and Retail",Functional Medicine Chef,self employed
686,2005,1,Literature,Humanities,Arts and Media,Deputy Editor,Congressional Quarterly
687,2008,1,Literature,Humanities,Government and Social Services,National Network Associate,National Skills Coalition
688,2018,1,Literature,Humanities,Arts and Media,General Manager,Sarasota Contemporary Dance
688,2018,2,Anthropology,Social Sciences,Arts and Media,General Manager,Sarasota Contemporary Dance
689,2004,1,Literature,Humanities,Education,Assistant Professor of English,Southeastern Louisiana University
689,2004,2,Spanish Language and Literature,Humanities,Education,Assistant Professor of English,Southeastern Louisiana University
690,2008,1,Art,Humanities,"Business, Finance, and Retail",Buyer Specialist,Teamworks Keller Williams
690,2008,2,Literature,Humanities,"Business, Finance, and Retail",Buyer Specialist,Teamworks Keller Williams
691,2004,1,Classics,Humanities,Government and Social Services,Director of Marketing & Development,Generation Rwanda
691,2004,2,Literature,Humanities,Government and Social Services,Director of Marketing & Development,Generation Rwanda
692,2015,1,Literature,Humanities,"Business, Finance, and Retail",Merchandise Operations Leader,Petco
692,2015,2,Gender Studies,Social Sciences,"Business, Finance, and Retail",Merchandise Operations Leader,Petco
693,2015,1,Literature,Humanities,Arts and Media,Director of Marketing,Presence
693,2015,2,Gender Studies,Social Sciences,Arts and Media,Director of Marketing,Presence
694,2005,1,Literature,Humanities,Education,Teacher - High School,Unknown
694,2005,2,Gender Studies,Social Sciences,Education,Teacher - High School,Unknown
695,2005,1,Literature,Humanities,Education,Education Coordinator,Carrera Adolescent Pregnancy Prevention Program
695,2005,2,Gender Studies,Social Sciences,Education,Education Coordinator,Carrera Adolescent Pregnancy Prevention Program
696,2015,1,German Language and Literature,Humanities,"Business, Finance, and Retail",Property Manager,St. Laurent Properties
696,2015,2,Literature,Humanities,"Business, Finance, and Retail",Property Manager,St. Laurent Properties
697,2002,1,Literature,Humanities,Education,Assistant Professor of Counseling,Nova Southeastern University
697,2002,2,Spanish Language and Culture,Humanities,Education,Assistant Professor of Counseling,Nova Southeastern University
698,2019,1,"Theater, Dance and Performance Studies",Humanities,Arts and Media,Company Member & Dance Performer,Sarasota Contemporary Dance
698,2019,2,Literature,Humanities,Arts and Media,Company Member & Dance Performer,Sarasota Contemporary Dance
699,2015,1,Literature,Humanities,Government and Social Services,Program Manager,Uri L'Tzedek
699,2015,2,Political Science,Social Sciences,Government and Social Services,Program Manager,Uri L'Tzedek
700,2007,1,Literature,Humanities,Health and Medicine,Doula,(Re)birthing Collective
700,2007,2,Religion,Humanities,Health and Medicine,Doula,(Re)birthing Collective
701,2011,1,Spanish Language and Literature,Humanities,Education,"Associate Director, Constituency Programs & Giving",University of Denver
701,2011,2,Literature,Humanities,Education,"Associate Director, Constituency Programs & Giving",University of Denver
702,2011,1,Spanish Language and Literature,Humanities,Education,NA,Emory University
702,2011,2,Literature,Humanities,Education,NA,Emory University
703,2020,1,Marine Biology,Natural Sciences,STEM,Ocean Acidification Research Technician,Mote Marine Laboratory
704,2015,1,Marine Biology,Natural Sciences,"Business, Finance, and Retail",Biologist,Aquatica Tropicals
705,2019,1,Marine Biology,Natural Sciences,Education,STEM and Program Specialist,Girl Scouts of West Central Florida
706,2020,1,Marine Biology,Natural Sciences,Government and Social Services,Biological Science Technician,USDA Animal and Plant Health Inspection Service (APHIS)
707,2014,1,Marine Biology,Natural Sciences,"Business, Finance, and Retail",Barista,Milk Studios
708,2012,1,Marine Biology,Natural Sciences,STEM,Biologist II,Smithers Environmental Risk Sciences Division
709,2003,1,Marine Biology,Natural Sciences,Other,NA,unknown
710,2015,1,Marine Biology,Natural Sciences,Government and Social Services,Education Volunteer Specialist,Manatee County Parks and Natural Resources
711,2016,1,Marine Biology,Natural Sciences,"Business, Finance, and Retail",Office Manager,GNS Electric Inc
712,2015,1,Marine Biology,Natural Sciences,STEM,Owner,Stocking Savvy
713,2012,1,Marine Biology,Natural Sciences,Government and Social Services,Program Manager,Animal Rescue Coalition
714,2020,1,Marine Biology,Natural Sciences,Education,Teacher,Davenport School of the Arts
715,2002,1,Psychology,Social Sciences,Government and Social Services,Environmental Education,U.S. Fish and Wildlife Service
715,2002,2,Marine Biology,Natural Sciences,Government and Social Services,Environmental Education,U.S. Fish and Wildlife Service
716,2018,1,Chinese Language and Culture,Humanities,Education,Coordinator of Campus Activities,Saint Stephen's Episcopal School
716,2018,2,Marine Biology,Natural Sciences,Education,Coordinator of Campus Activities,Saint Stephen's Episcopal School
717,2008,1,Mathematics,Natural Sciences,Education,Assistant Professor,United States Military Academy
718,2006,1,Mathematics,Natural Sciences,STEM,Research Staff,HRL Laboratories
719,2015,1,Mathematics,Natural Sciences,STEM,Machine Learning Engineer,"HRL Laboratories, LLC"
720,2003,1,Mathematics,Natural Sciences,"Business, Finance, and Retail",Lead Analytic Scientist,FICO
721,2009,1,Mathematics,Natural Sciences,STEM,Senior Data Scientist,Next Games
722,2013,1,Mathematics,Natural Sciences,Education,Math Teacher,Sea Breeze High School
723,2002,1,Mathematics,Natural Sciences,Other,NA,unknown
724,2003,1,Mathematics,Natural Sciences,"Business, Finance, and Retail",Sr Financial Risk Manager,DTCC
725,2008,1,Mathematics,Natural Sciences,STEM,NA,Unknown
726,2013,1,Mathematics,Natural Sciences,STEM,Sr. Performance Engineer,Akamai Technologies
727,2005,1,Mathematics,Natural Sciences,"Business, Finance, and Retail",Founder/Private Investor,E'lir Capital LLC & Stormlight Capital
728,2012,1,Mathematics,Natural Sciences,Education,Ph.D. Candidate,University of Arizona
729,2019,1,Mathematics,Natural Sciences,Education,Teacher/ Math,High School
730,2017,1,Mathematics,Natural Sciences,Education,Research Intern,MIT Media Lab
730,2017,2,Computer Science,Natural Sciences,Education,Research Intern,MIT Media Lab
731,2003,1,Mathematics,Natural Sciences,STEM,Data Scientist,CA Technologies
731,2003,2,Physics,Natural Sciences,STEM,Data Scientist,CA Technologies
732,2008,1,Mathematics,Natural Sciences,STEM,Software Engineer,"Big Nerd Ranch, Inc."
