ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry
538,2015,Psychology,Social Sciences,German Language and Literature,Humanities,,,IMG Academy,Tutor,Education,Education
539,2007,German Language and Literature,Humanities,,,,,Unknown,Teaching,Education,Education
540,2007,Humanities,Humanities,German Language and Literature,Humanities,,,Investor Management Services,Sr. Research Associate,Software,Software
541,2007,Spanish Language and Culture,Humanities,,,,,Intraespa Inc.,,Law,Law
542,2003,Economics,Social Sciences,Spanish Language and Culture,Humanities,,,unknown,,Unknown,
543,2005,Spanish Language and Culture,Humanities,,,,,Smithsonian National Postal Museum,Public Programs Coordinator,Non Profit,Non Profit
544,2006,History,Social Sciences,,,,,New College of Florida,Assoc Director Prospect Management,Non Profit,Non Profit
545,2012,History,Social Sciences,,,,,Ringling College of Art & Design,Archivist,Arts,
546,2009,History,Social Sciences,,,,,Blue Sky Agency,Media Supervisor,Media,Media
547,2011,History,Social Sciences,,,,,Chamberlain High School,High School Teacher,Education,Education
548,2014,History,Social Sciences,,,,,The Boston Consulting Group,Communications Specialist,Consulting,
549,2013,History,Social Sciences,,,,,East Bay Community Foundation,"Finance, Administrative Program Manager",Non Profit,Non Profit
550,2016,History,Social Sciences,,,,,Library of Congress,,Museums and Institutions,Museums and Institutions
551,2020,History,Social Sciences,,,,,The Guatemalan-Maya Center,Executive Administrative Assistant,Non Profit,
552,2003,History,Social Sciences,,,,,AMU's Washington College of Law,Student,Education,Education
553,2002,History,Social Sciences,,,,,Grapevine Communications,Webmaster,Software,Software
554,2017,History,Social Sciences,,,,,WSLR Community Radio Station,Production/Programming Assistant,Media,Media
555,2006,History,Social Sciences,,,,,State Attorney,Attorney,Law,Law
556,2002,History,Social Sciences,,,,,Library of Congress,Copyright Acquisitions Librarian,Government,Government
557,2017,History,Social Sciences,,,,,Unknown,,Library,Library
558,2012,History,Social Sciences,,,,,Asolo Theatre,Graphic Design Associate,Entertainment,Entertainment
559,2005,History,Social Sciences,,,,,Unknown,TEFL Teacher,Education,Education
560,2005,History,Social Sciences,,,,,Pennsylvania Superior Court,Deputy Law Clerk,Law,Law
561,2011,History,Social Sciences,,,,,A Better Chance for Our Children,Caseworker,Community Services,
562,2006,History,Social Sciences,,,,,Florida Holocaust Museum,Curatorial Affairs Department Coordinator,Museums and Institutions,
563,2017,History,Social Sciences,,,,,Freelance Virtual Assistant,,Information Technology,
564,2006,History,Social Sciences,,,,,Mote Marine Laboratory,Archivist,Marine,Marine
565,2007,History,Social Sciences,,,,,VidIQ,Co-Founder,Marketing,Marketing
566,2004,History,Social Sciences,,,,,Sarah Suski Design,"Owner, Graphic Designer",Technology,Technology
567,2010,History,Social Sciences,Economics,Social Sciences,,,JCPenney,Sales Associate,Retail,Retail
568,2010,History,Social Sciences,International and Area Studies,Interdisciplinary,,,Peace Corps,Development Education Specialist,Development,Development
569,2009,Political Science,Social Sciences,History,Social Sciences,,,"Kaufman Dolowich & Voluck, LLP",Partner,Law,
570,2018,History,Social Sciences,,,,,GMMB,Media Data Engineer,Technology,
571,2012,History,Social Sciences,Biology,Natural Sciences,,,New Gate School,Teacher,Education,Education
572,2008,English,Humanities,History,Social Sciences,,,Self Employed,Freelance Editor,Publishing,Publishing
573,2004,Economics,Social Sciences,History,Social Sciences,,,US Chamber of Commerce Foundation,"Senior Director, Research & Issue Networks",Non Profit,Non Profit
574,2008,History,Social Sciences,Environmental Studies,Interdisciplinary,,,Texas Sunset Advisory Commission,Policy Analyst,Government,Government
575,2007,Gender Studies,Social Sciences,History,Social Sciences,,,Roane State Community College,Physical Therapist Assistant,Healthcare,Healthcare
576,2004,Gender Studies,Social Sciences,History,Social Sciences,,,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Associate,Law,Law
577,2015,History,Social Sciences,German Language and Literature,Humanities,,,Mortgage Originator,Mortgage Originator,Financial Services,Financial Services
578,2012,International and Area Studies,Interdisciplinary,History,Social Sciences,,,Classic Collectible Service,,Entertainment,
579,2011,Mathematics,Natural Sciences,History,Social Sciences,,,Charles Schwab,Data Scientist,Financial Services,Financial Services
580,2011,History,Social Sciences,Sociology,Social Sciences,,,Mawn Law Consulting,Attorney,Law,Law
581,2015,Humanities,Humanities,,,,,Sarasota Literacy Council,English Tutor,Education / Training,Education / Training
582,2012,Humanities,Humanities,,,,,National Alliance of Mental Illness - Miami,Director of Programs,Non Profit,Non Profit
583,2007,Humanities,Humanities,,,,,New York Life,Financial Services Representative,Financial Services,Financial Services
584,2007,Humanities,Humanities,,,,,Unknown,Technology & Human Rights Law,Law,Law
585,2002,Humanities,Humanities,,,,,Herald-Tribune Media Group,Copy Editor/Web Manager,Journalism,Journalism
586,2019,Humanities,Humanities,,,,,Shorecrest Preparatory School,Teacher Assistant,Education,Education
587,2013,Humanities,Humanities,,,,,INLINGO,Video Game Translator,Entertainment,
588,2013,Humanities,Humanities,,,,,City Year,City Year Corps Member,Non Profit,Non Profit
589,2015,Humanities,Humanities,,,,,Sur La Table,Associate,Retail,
590,2007,Humanities,Humanities,,,,,American Youth Symphony,Development and Audience Relations Coordinator,Non Profit,Non Profit
591,2004,Humanities,Humanities,,,,,University of Alaska,Graduate Teaching Assistant,Education,Education
592,2013,Humanities,Humanities,,,,,Reflex Arts,Dance and Fitness Instructor,Health & Fitness,Health & Fitness
593,2003,Humanities,Humanities,,,,,Japan Exchange and Teaching Program,English Teacher / Japan,Educational Services,Educational Services
594,2010,Humanities,Humanities,,,,,Shoreline Sightseeing,Architecture River Tour Docent,Museums and Institutions,
595,2002,Humanities,Humanities,,,,,Boston Biomedical Research Institute,Artist in Residence,Research,Research
596,2009,Humanities,Humanities,,,,,Kelly Educational Staffing,Substitute Teacher,Education,Education
597,2013,Humanities,Humanities,,,,,Cat Depot,Cat caretaker,Services,
598,2011,Humanities,Humanities,,,,,City College of New York,Educator/Graduate Student,Education,Education
599,2013,Humanities,Humanities,,,,,New College of Florida,Office Manager,Education,Education
600,2015,Humanities,Humanities,,,,,Sarasota Orchestra,Ticket Agent,Music,Music
601,2013,Humanities,Humanities,,,,,New College of Florida,Work Crew,Education,Education
602,2002,Humanities,Humanities,,,,,Johnson & Johnson,Mgr - Organizational Communication,Public Relations,Public Relations
603,2015,Humanities,Humanities,,,,,Sarasota County Library Assistant,Library Assistant,Library,Library
604,2003,Humanities,Humanities,,,,,Jaymay Music,,Music,Music
605,2009,Humanities,Humanities,,,,,USF-Sarasota-Manatee,Webmaster,IT Communications,IT Communications
606,2013,Humanities,Humanities,,,,,Ann Savoy Cajun Anthology,Assistant Editor/Translator,Entertainment,
607,2003,Humanities,Humanities,,,,,RADLabs,Self Employed Artist and Teacher,Arts,Arts
608,2003,Humanities,Humanities,,,,,Sarasota Herald Tribune,Reporter,Journalism,Journalism
609,2016,Humanities,Humanities,,,,,Clemson University,Teacher of Record,Education,Education
610,2010,Humanities,Humanities,,,,,American Apparel,Store Manager,Retail,Retail
611,2013,Humanities,Humanities,,,,,Arts in Action,Art Teacher,Education,Education
612,2009,Humanities,Humanities,,,,,Triangle Community Foundation,Operations Manager,Nonprofit,Nonprofit
613,2008,Humanities,Humanities,,,,,"Bronx School for Law, Government and Justice",Special Education Teacher,Education,Education
614,2015,Humanities,Humanities,,,,,Tattoo Promotion Factory,Office Assistant,Arts,Arts
615,2004,Humanities,Humanities,,,,,Hampton Inn,Front Desk Supervisor,Hospitality,Hospitality
616,2012,Humanities,Humanities,,,,,Driftcatcher LLC,Software Development Lead,Software,Software
617,2018,Humanities,Humanities,,,,,PSL Services/STRIVE,Education Technician,Education,Education
618,2003,Humanities,Humanities,,,,,Alzheimer's Association Queensland,Administration Officer,Non Profit,Non Profit
619,2012,Humanities,Humanities,,,,,Coffee Shop,,Food Service,
620,2002,Humanities,Humanities,,,,,Peace Corps,,Non Profit,
621,2007,Humanities,Humanities,,,,,William Morris Endeavor,Director of Marketing,Marketing,Marketing
622,2004,Humanities,Humanities,,,,,Florida Eye Clinic,Licensed Optician,Healthcare,Healthcare
623,2004,Humanities,Humanities,,,,,Appalachian State Unviersity,Research Associate for Teacher Education Assessmen,Education,Education
624,2011,Humanities,Humanities,,,,,Springfield City Library,Reference Librarian,Library,Library
625,2004,Humanities,Humanities,,,,,Florida International University,Instructor of Writing and Rhetoric,Education,Education
626,2005,Humanities,Humanities,,,,,Center for Adolescent Health - Johns Hopkins,Research Program Coordinator,Public Health,Public Health
627,2017,Humanities,Humanities,,,,,New York Film Academy,Resident Assistant,Education,Education
628,2006,Humanities,Humanities,,,,,Manatee Clerk of the Circuit Court,Law Librarian,Law,Law
629,2012,Humanities,Humanities,,,,,Freelance,Energy & Transportation Reporter,Media,
630,2006,Humanities,Humanities,,,,,"Quadrant 2, Inc.",Software Developer,Information Technology,Information Technology
631,2003,Humanities,Humanities,,,,,Path with Art,Music and Performance Coordinator,Music,Music
632,2003,Humanities,Humanities,,,,,Oakland Unified School District,Teacher,Education,Education
633,2015,Humanities,Humanities,,,,,AmeriCorps,AmeriCorps Member,Non Profit,Non Profit
634,2004,Humanities,Humanities,,,,,"Green Mountain Care Board, State of Vermont",Health Care Policy Analyst,Health Care Consulting,Health Care Consulting
635,2006,Humanities,Humanities,,,,,Airtime,Support Rep,Technology,Technology
636,2009,Humanities,Humanities,,,,,Cerner Corporation,Project Manager,Healthcare,Healthcare
637,2005,Humanities,Humanities,,,,,University of South Florida,Research Assistant,Education,Education
638,2020,Interdisciplinary,Interdisciplinary,,,,,Breaking The Code,Founder,Business,
639,2003,International and Area Studies,Interdisciplinary,,,,,unknown,Homemaker,Unknown,
640,2011,International and Area Studies,Interdisciplinary,,,,,CCG Analytics,Delivery Coordinator,Information Technology,Information Technology
641,2015,International and Area Studies,Interdisciplinary,,,,,International Sunshine Home,English Teacher,Education,Education
642,2005,International and Area Studies,Interdisciplinary,,,,,Cascadian Health,Therapist,Healthcare,Healthcare
643,2013,International and Area Studies,Interdisciplinary,,,,,Goethe Institut e.V,Senior Project Manager,Non Profit,Non Profit
644,2014,International and Area Studies,Interdisciplinary,,,,,Horn of Africa Services / Americorps,Refugee/Child Social Work,Non Profit,Non Profit
645,2012,International and Area Studies,Interdisciplinary,,,,,Unknown,Intern,Unknown,
646,2015,International and Area Studies,Interdisciplinary,,,,,Exit Bayshore Realty,Real Estate Agent,Real Estate,Real Estate
647,2013,International and Area Studies,Interdisciplinary,,,,,Lake County Superior Court,Family Law Facilitator/Self-Help Center Attorney,Law,Law
648,2010,International and Area Studies,Interdisciplinary,,,,,Mundo Verde PCS,Lead Teacher,Education,Education
649,2017,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,,,Unknown,,Education,Education
650,2012,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,,,"GrantWorks, Inc.",Director of Project Management,Business Consulting,
651,2018,International and Area Studies,Interdisciplinary,Political Science,Social Sciences,,,Washington Office on Latin America (WOLA),"Asst. Dir. for Partnerships, Development team",International Relations,International Relations
652,2015,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,GPS Industries,Account Executive,Software,Software
653,2013,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Lush,Sales Associate,Retail,
654,2015,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,La Clinica de La Raza,Perinatal Case Manager,Healthcare,Healthcare
655,2019,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Advanced Technology Group,Solutions Consultant,Information Technology,
656,2012,French,Humanities,International and Area Studies,Interdisciplinary,,,TAPIF,English Teacher,Education,Education
657,2013,Gender Studies,Social Sciences,International and Area Studies,Interdisciplinary,,,Public Library of Science,Email Marketing Manager,Marketing,Marketing
658,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Institute for Multi-Trade Diplomacy,Intern,International Economic Development Consulting,International Economic Development Consulting
659,2009,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Regions Bank,Branch Service Leader,Banking,Banking
660,2016,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Samasource,,Information Technology,Information Technology
661,2013,International and Area Studies,Interdisciplinary,Russian Language and Literature,Humanities,,,Institute for Multi-Trade Diplomacy,Intern,International Economic Development Consulting,International Economic Development Consulting
662,2020,Urban Studies,Interdisciplinary,International and Area Studies,Interdisciplinary,,,City of McCall,Assistant City Planner,City/County/State,City/County/State
663,2008,Languages and Literature,Interdisciplinary,,,,,University of Illinois,Law Student,Law,Law
664,2009,Interdisciplinary,Interdisciplinary,,,,,Unknown,,Library,Library
665,2020,Interdisciplinary,Interdisciplinary,,,,,Fat Dog Spirits,Marketing and Social Media Coordinator,Marketing,Marketing
666,2013,Literature,Humanities,,,,,Self Employed,Au Pair,Education,Education
667,2012,Literature,Humanities,,,,,Two Sisters Baking Co.,Owner,Food Service,
668,2013,Literature,Humanities,,,,,Feld Entertainment,Senior Copy Editor,Entertainment,Entertainment
669,2003,Literature,Humanities,,,,,The Catering Company of Chapel Hill,Event Planner,Food and Lodging,Food and Lodging
670,2008,Literature,Humanities,,,,,Workman Publishin,Production Supervisor,Publishing,Publishing
671,2006,Literature,Humanities,,,,,The Japan Times,Reporter,Journalism,Journalism
672,2010,Literature,Humanities,,,,,New College of Florida,Library Assistant,Education,Education
673,2014,Literature,Humanities,,,,,Petro Global News,Head Writer,Media,Media
674,2013,Literature,Humanities,,,,,Colliers International,Digital Marketing Specialist,Real Estate,Real Estate
675,2012,Literature,Humanities,,,,,IMG Pendelton Academy,Executive Assistant/Tutoring Coordinator,Education,Education
676,2020,Literature,Humanities,,,,,Northspyre,Business Development Associate,Business,Business
677,2005,Literature,Humanities,,,,,Unknown,,Educational Services,Educational Services
678,2011,Literature,Humanities,,,,,LT Apparel,Receptionist,Retail,Retail
679,2002,Literature,Humanities,,,,,Texas State Library and Archives Commision,Reference Archivist,Library,Library
680,2003,Literature,Humanities,,,,,Graded-American School of Sao Paulo,Teacher,Education,Education
681,2008,Literature,Humanities,,,,,Mutt Industries,Copywriter/Community Manager,Arts,Arts
682,2011,Literature,Humanities,,,,,Maryland Historical Society,Development Coordinator,Development,Development
683,2005,Literature,Humanities,,,,,Tufts University,Admin. Assistant,Education,Education
684,2016,Literature,Humanities,,,,,Unknown,,Marketing,Marketing
685,2006,Literature,Humanities,,,,,self employed,Functional Medicine Chef,Food,Food
686,2005,Literature,Humanities,,,,,Congressional Quarterly,Deputy Editor,Media,Media
687,2008,Literature,Humanities,,,,,National Skills Coalition,National Network Associate,Government,Government
688,2018,Literature,Humanities,Anthropology,Social Sciences,,,Sarasota Contemporary Dance,General Manager,Performing Arts,Performing Arts
689,2004,Literature,Humanities,Spanish Language and Literature,Humanities,,,Southeastern Louisiana University,Assistant Professor of English,Education,Education
690,2008,Art,Humanities,Literature,Humanities,,,Teamworks Keller Williams,Buyer Specialist,Real Estate,Real Estate
691,2004,Classics,Humanities,Literature,Humanities,,,Generation Rwanda,Director of Marketing & Development,Non Profit,Non Profit
692,2015,Literature,Humanities,Gender Studies,Social Sciences,,,Petco,Merchandise Operations Leader,Retail,Retail
693,2015,Literature,Humanities,Gender Studies,Social Sciences,,,Presence,Director of Marketing,Online Media,Online Media
694,2005,Literature,Humanities,Gender Studies,Social Sciences,,,Unknown,Teacher - High School,Education,Education
695,2005,Literature,Humanities,Gender Studies,Social Sciences,,,Carrera Adolescent Pregnancy Prevention Program,Education Coordinator,Education,Education
696,2015,German Language and Literature,Humanities,Literature,Humanities,,,St. Laurent Properties,Property Manager,Real Estate,
697,2002,Literature,Humanities,Spanish Language and Culture,Humanities,,,Nova Southeastern University,Assistant Professor of Counseling,Education,Education
698,2019,"Theater, Dance and Performance Studies",Humanities,Literature,Humanities,,,Sarasota Contemporary Dance,Company Member & Dance Performer,Performing Arts,Performing Arts
699,2015,Literature,Humanities,Political Science,Social Sciences,,,Uri L'Tzedek,Program Manager,Nonprofit,Nonprofit
700,2007,Literature,Humanities,Religion,Humanities,,,(Re)birthing Collective,Doula,Medicine,Medicine
701,2011,Spanish Language and Literature,Humanities,Literature,Humanities,,,University of Denver,"Associate Director, Constituency Programs & Giving",Education,Education
702,2011,Spanish Language and Literature,Humanities,Literature,Humanities,,,Emory University,,Education,Education
703,2020,Marine Biology,Natural Sciences,,,,,Mote Marine Laboratory,Ocean Acidification Research Technician,Marine,Marine
704,2015,Marine Biology,Natural Sciences,,,,,Aquatica Tropicals,Biologist,Food,
705,2019,Marine Biology,Natural Sciences,,,,,Girl Scouts of West Central Florida,STEM and Program Specialist,Education,
706,2020,Marine Biology,Natural Sciences,,,,,USDA Animal and Plant Health Inspection Service (APHIS),Biological Science Technician,Government,
707,2014,Marine Biology,Natural Sciences,,,,,Milk Studios,Barista,Food Service,Food Service
708,2012,Marine Biology,Natural Sciences,,,,,Smithers Environmental Risk Sciences Division,Biologist II,Environmental,
709,2003,Marine Biology,Natural Sciences,,,,,unknown,,Unknown,
710,2015,Marine Biology,Natural Sciences,,,,,Manatee County Parks and Natural Resources,Education Volunteer Specialist,Government,Government
711,2016,Marine Biology,Natural Sciences,,,,,GNS Electric Inc,Office Manager,Business,
712,2015,Marine Biology,Natural Sciences,,,,,Stocking Savvy,Owner,Environmental,
713,2012,Marine Biology,Natural Sciences,,,,,Animal Rescue Coalition,Program Manager,Non Profit,Non Profit
714,2020,Marine Biology,Natural Sciences,,,,,Davenport School of the Arts,Teacher,Education,Education
715,2002,Psychology,Social Sciences,Marine Biology,Natural Sciences,,,U.S. Fish and Wildlife Service,Environmental Education,Government,Government
716,2018,Chinese Language and Culture,Humanities,Marine Biology,Natural Sciences,,,Saint Stephen's Episcopal School,Coordinator of Campus Activities,Education,Education
717,2008,Mathematics,Natural Sciences,,,,,United States Military Academy,Assistant Professor,Education,Education
718,2006,Mathematics,Natural Sciences,,,,,HRL Laboratories,Research Staff,Research,Research
719,2015,Mathematics,Natural Sciences,,,,,"HRL Laboratories, LLC",Machine Learning Engineer,Engineering,Engineering
720,2003,Mathematics,Natural Sciences,,,,,FICO,Lead Analytic Scientist,Financial Services,Financial Services
721,2009,Mathematics,Natural Sciences,,,,,Next Games,Senior Data Scientist,Data Science,Data Science
722,2013,Mathematics,Natural Sciences,,,,,Sea Breeze High School,Math Teacher,Education,Education
723,2002,Mathematics,Natural Sciences,,,,,unknown,,Unknown,
724,2003,Mathematics,Natural Sciences,,,,,DTCC,Sr Financial Risk Manager,Financial Services,Financial Services
725,2008,Mathematics,Natural Sciences,,,,,Unknown,,Software,Software
726,2013,Mathematics,Natural Sciences,,,,,Akamai Technologies,Sr. Performance Engineer,Engineering,Engineering
727,2005,Mathematics,Natural Sciences,,,,,E'lir Capital LLC & Stormlight Capital,Founder/Private Investor,Investments,Investments
728,2012,Mathematics,Natural Sciences,,,,,University of Arizona,Ph.D. Candidate,Education,Education
729,2019,Mathematics,Natural Sciences,,,,,High School,Teacher/ Math,Education,Education
730,2017,Mathematics,Natural Sciences,Computer Science,Natural Sciences,,,MIT Media Lab,Research Intern,Education,Education
731,2003,Mathematics,Natural Sciences,Physics,Natural Sciences,,,CA Technologies,Data Scientist,Information Technology,Information Technology
732,2008,Mathematics,Natural Sciences,Computer Science,Natural Sciences,,,"Big Nerd Ranch, Inc.",Software Engineer,Technology,Technology
733,2005,Medieval & Renaissance Studies,Interdisciplinary,,,,,Jefferson Middle/High School,Social Studies Teacher,Education,Education
734,2011,Medieval & Renaissance Studies,Interdisciplinary,,,,,UNC at Chapel Hill,Library Science Graduate Student,Library,Library
735,2015,Medieval & Renaissance Studies,Interdisciplinary,Anthropology,Social Sciences,,,LVVS,Assistant,Medicine,Medicine
736,2010,Spanish Language and Literature,Humanities,Medieval & Renaissance Studies,Interdisciplinary,,,Diocese of Venice,Seminarian,Religion,Religion
737,2020,Music,Humanities,,,,,Tallahassee Classical School,Teacher,Education,Education
738,2007,Music,Humanities,,,,,health adventure,Musician/Composer,Music,Music
739,2013,Music,Humanities,,,,,Four Winds Cafe,Manager,Food and Lodging,Food and Lodging
740,2012,Music,Humanities,,,,,Lee County School District,Teacher,Education,Education
741,2008,Music,Humanities,,,,,Agnes Scott College,SUMMIT Advisor,Education,Education
742,2013,Music,Humanities,,,,,Coyote Kissies,Musician,Music,Music
743,2007,Music,Humanities,,,,,Decoded Advertising,Senior Motion Artist,Arts,Arts
744,2015,Music,Humanities,,,,,New College Foundation,Alumnae/i and Special Projects Coordinator,Non Profit,Non Profit
745,2004,Music,Humanities,,,,,HealthMetrics Partners,Analyst,Healthcare Services,Healthcare Services
746,2004,Music,Humanities,German Language and Literature,Humanities,,,Curtis Institute of Music,Professor of Music,Education,Education
747,2015,Natural Sciences,Natural Sciences,Music,Humanities,,,JET Program,Assistant Language Teacher,Education,Education
748,2010,Music,Humanities,Psychology,Social Sciences,,,Florida Southwestern State College,"Coordinator of Assessment, Accountability & Effect",Education,
749,2020,Humanities,Humanities,,,,,Isotropical Games,Composer,Music,Music
750,2012,"Theater, Dance and Performance Studies",,,,,,Nelly Berman School of Music,Administrative Assistant,Education,Education
751,2014,Music,Humanities,Economics,Social Sciences,,,World Performance Records,Audio Engineer and Producer,Music,Music
752,2005,Spanish Language and Culture,Humanities,Music,Humanities,,,New College of Florida,clerical support,Education,Education
753,2004,Music,Humanities,Physics,Natural Sciences,,,TUNE,Software Development Manager,Marketing,Marketing
754,2014,Natural Sciences,Natural Sciences,,,,,Microsoft Store,Services Advisor,Software,Software
755,2015,Natural Sciences,Natural Sciences,,,,,Scribe America,Medical Scribe,Medical,Medical
756,2011,Natural Sciences,Natural Sciences,,,,,Shopify,Front End Developer,Technology,Technology
757,2013,Natural Sciences,Natural Sciences,,,,,Star2Star Communications,Data Scientist,Data Science,Data Science
758,2009,Natural Sciences,Natural Sciences,,,,,Nielsen,Data Processing Specialist,Media,Media
759,2013,Natural Sciences,Natural Sciences,,,,,University of Florida Whitney Lab,Biogeochemistry Lab Tech,Research,Research
760,2006,Natural Sciences,Natural Sciences,,,,,Falon Land Studio LLC,Landscape Architect,Environmental,Environmental
761,2004,Natural Sciences,Natural Sciences,,,,,"East Carolina University, Brody School of Medicine",Clinical Research Nurse Specialist,Healthcare,Healthcare
762,2017,Natural Sciences,Natural Sciences,,,,,Mathnasium,Lead instructor,Education,Education
763,2015,Natural Sciences,Natural Sciences,,,,,Jewish National Health,Bioinformatics Program,Medical,Medical
764,2012,Natural Sciences,Natural Sciences,,,,,Sarasota Middle School,Math Teacher,Education,Education
765,2013,Natural Sciences,Natural Sciences,,,,,Star2Star Communications,Programmer,Technology,Technology
766,2011,Natural Sciences,Natural Sciences,,,,,Millennium Management,Quantitative Research Analyst,Financial Services,
767,2003,Natural Sciences,Natural Sciences,,,,,ACLU of FL,Civil Libertarian,Non Profit,Non Profit
768,2011,Natural Sciences,Natural Sciences,,,,,New College Child Center,Assistant Director,Education,Education
769,2020,Natural Sciences,Natural Sciences,,,,,Ramapo for Children,School-Age Child Care (SACC) Program Site Supervis,Educational Services,Educational Services
770,2015,Natural Sciences,Natural Sciences,,,,,Feathr,Customer Success Manager,Business,
771,2011,Natural Sciences,Natural Sciences,,,,,Score At The Top Learning Centers & Schools,Teacher,Education,Education
772,2015,Natural Sciences,Natural Sciences,,,,,Reynolds and Reynolds Company,Software Developer,Computer Software,Computer Software
773,2009,Natural Sciences,Natural Sciences,,,,,Scripps Mercy Hospital,Doctor (Resident),Medical,Medical
774,2013,Natural Sciences,Natural Sciences,,,,,Freelance reporter,,Media,
775,2020,Natural Sciences,Natural Sciences,,,,,"Hale Law, P.A.",Case Manager,Law,Law
776,2013,Natural Sciences,Natural Sciences,,,,,Guitar Center,Sales Associate,Retail,Retail
777,2013,Natural Sciences,Natural Sciences,,,,,Self Employed,,Unknown,
778,2016,Neuroscience,Interdisciplinary,,,,,Boston University - CTE Center,Research Assistant,Education,
779,2020,Neuroscience,Interdisciplinary,,,,,SystImmune,Research Associate II,Research,Research
780,2012,Neuroscience,Interdisciplinary,,,,,Student Business Services CO-OP of Sarasota at Copytalk,Scribe and Quality Assurance,Services,
781,2020,Neuroscience,Interdisciplinary,,,,,Roskamp Institute,Research Assistant,Research,Research
782,2014,Neuroscience,Interdisciplinary,,,,,Advanced Energy Resources,Administrative Assistant,Business,
783,2020,Neuroscience,Interdisciplinary,,,,,Sarasota Memorial Hospital,Courtyard Tower Volunteer,Healthcare,Healthcare
784,2012,Neuroscience,Interdisciplinary,,,,,Better Better Better Inc,CEO,Marketing,
785,2016,Neuroscience,Interdisciplinary,,,,,University of Washington - School of Medicine,Graduate Research Assistant,Education,Education
786,2019,Neuroscience,Interdisciplinary,,,,,Max Planck Florida Institute for Neuroscience,Postbac Research Fellow,Education,
787,2012,Neuroscience,Interdisciplinary,,,,,Immutics,Research Associate,Research,
788,2009,Neuroscience,Interdisciplinary,,,,,Pelot's Pharmacy,Per Diem Pharmacist,Pharmaceutical,Pharmaceutical
789,2016,Neuroscience,Interdisciplinary,Chemistry,Natural Sciences,,,Unknown,,Unknown,
790,2013,"Theater, Dance and Performance Studies",Humanities,,,,,Fuzion Dance,Dancer,Entertainment,Entertainment
791,2008,Philosophy,Humanities,,,,,Amazon Conservation Team,GIS and Web Development Coordinator,Non Profit,Non Profit
792,2004,Philosophy,Humanities,,,,,"CIRCOR International, Inc.",Legal Intern,Law,Law
793,2006,Philosophy,Humanities,,,,,unknown,"Teacher, elementary",Education,Education
794,2012,Philosophy,Humanities,,,,,Wildbright Technology,Software Developer,Information Technology,Information Technology
795,2011,Philosophy,Humanities,,,,,"Katz, Marshall & Banks LLP",Associate,Law,Law
796,2015,Philosophy,Humanities,,,,,Whole Foods Market,,Retail,
797,2005,Philosophy,Humanities,,,,,Environmental Law & Policy Center,Staff Attorney,Law,Law
798,2011,Philosophy,Humanities,,,,,Unknown,,Financial Services,Financial Services
799,2004,Philosophy,Humanities,,,,,University of Chicago,Graduate Student,Education,Education
800,2006,Philosophy,Humanities,,,,,Credit Union,Research Analyst,Research,Research
801,2007,Philosophy,Humanities,,,,,Mazzoni Center,Medical Case Manager,Healthcare,Healthcare
802,2007,Philosophy,Humanities,,,,,Valencia College,Professor,Education,Education
803,2013,Philosophy,Humanities,,,,,Solution Skills Inc,Test Prep Tutoring,Education,Education
804,2018,Philosophy,Humanities,,,,,"W.W. Norton & Company, Inc.",Editorial Asst. for Political Science Media,Media,
805,2014,Philosophy,Humanities,,,,,Herald Tribune Media,Staff Writer,Media,Media
806,2009,Philosophy,Humanities,,,,,Family Partnership Center,Parenting Educator,Education,
807,2012,Philosophy,Humanities,,,,,JobDiva,Lead Copywriter/Technical Communications Officer,Media,
808,2012,Philosophy,Humanities,,,,,Hubbub Coffee,Manager,Food Service,Food Service
809,2003,Philosophy,Humanities,,,,,University of Toronto,Assistant Professor,Education,Education
810,2011,Economics,Social Sciences,Philosophy,Humanities,,,The Lewin Group,Consultant,Business Consulting,
811,2012,Humanities,Humanities,Philosophy,Humanities,,,Battery Park City Authority,Legal intern,Law,Law
812,2003,Humanities,Humanities,Philosophy,Humanities,,,unknown,,Unknown,
813,2003,Humanities,Humanities,Philosophy,Humanities,,,Office of Maryland Attorney General,Assistant Attorney General,Law,Law
814,2012,Classics,Humanities,Philosophy,Humanities,,,FMP Consulting,,Business Consulting,Business Consulting
815,2010,Economics,Social Sciences,Philosophy,Humanities,,,Morrison & Lee LLC,Privacy Attorney,Law,Law
816,2005,Philosophy,Humanities,Mathematics,Natural Sciences,,,Columbia University,Philosophy Professor,Education,Education
817,2015,Music,Humanities,Philosophy,Humanities,,,Renaissance Jacksonville,Chief Strategist,Education,Education
818,2015,Music,Humanities,Philosophy,Humanities,,,IMG Academy,SAT / ACT Teacher,Education,Education
