ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
586,2019,Humanities,Humanities,NA,NA,NA,NA,Shorecrest Preparatory School,Teacher Assistant,Education,Education,Education,Education
587,2013,Humanities,Humanities,NA,NA,NA,NA,INLINGO,Video Game Translator,Entertainment,NA,Arts and Media,Arts and Media
588,2013,Humanities,Humanities,NA,NA,NA,NA,City Year,City Year Corps Member,Non Profit,Non Profit,Government and Social Services,Government and Social Services
589,2015,Humanities,Humanities,NA,NA,NA,NA,Sur La Table,Associate,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
590,2007,Humanities,Humanities,NA,NA,NA,NA,American Youth Symphony,Development and Audience Relations Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
591,2004,Humanities,Humanities,NA,NA,NA,NA,University of Alaska,Graduate Teaching Assistant,Education,Education,Education,Education
592,2013,Humanities,Humanities,NA,NA,NA,NA,Reflex Arts,Dance and Fitness Instructor,Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
593,2003,Humanities,Humanities,NA,NA,NA,NA,Japan Exchange and Teaching Program,English Teacher / Japan,Educational Services,Educational Services,Education,Education
594,2010,Humanities,Humanities,NA,NA,NA,NA,Shoreline Sightseeing,Architecture River Tour Docent,Museums and Institutions,NA,Education,Education
595,2002,Humanities,Humanities,NA,NA,NA,NA,Boston Biomedical Research Institute,Artist in Residence,Research,Research,STEM,STEM
596,2009,Humanities,Humanities,NA,NA,NA,NA,Kelly Educational Staffing,Substitute Teacher,Education,Education,Education,Education
597,2013,Humanities,Humanities,NA,NA,NA,NA,Cat Depot,Cat caretaker,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
598,2011,Humanities,Humanities,NA,NA,NA,NA,City College of New York,Educator/Graduate Student,Education,Education,Education,Education
599,2013,Humanities,Humanities,NA,NA,NA,NA,New College of Florida,Office Manager,Education,Education,Education,Education
600,2015,Humanities,Humanities,NA,NA,NA,NA,Sarasota Orchestra,Ticket Agent,Music,Music,Arts and Media,Arts and Media
601,2013,Humanities,Humanities,NA,NA,NA,NA,New College of Florida,Work Crew,Education,Education,Education,Education
602,2002,Humanities,Humanities,NA,NA,NA,NA,Johnson & Johnson,Mgr - Organizational Communication,Public Relations,Public Relations,Government and Social Services,Government and Social Services
603,2015,Humanities,Humanities,NA,NA,NA,NA,Sarasota County Library Assistant,Library Assistant,Library,Library,Education,Education
604,2003,Humanities,Humanities,NA,NA,NA,NA,Jaymay Music,NA,Music,Music,Arts and Media,Arts and Media
605,2009,Humanities,Humanities,NA,NA,NA,NA,USF-Sarasota-Manatee,Webmaster,IT Communications,IT Communications,STEM,STEM
606,2013,Humanities,Humanities,NA,NA,NA,NA,Ann Savoy Cajun Anthology,Assistant Editor/Translator,Entertainment,NA,Arts and Media,Arts and Media
607,2003,Humanities,Humanities,NA,NA,NA,NA,RADLabs,Self Employed Artist and Teacher,Arts,Arts,Arts and Media,Arts and Media
608,2003,Humanities,Humanities,NA,NA,NA,NA,Sarasota Herald Tribune,Reporter,Journalism,Journalism,Arts and Media,Arts and Media
609,2016,Humanities,Humanities,NA,NA,NA,NA,Clemson University,Teacher of Record,Education,Education,Education,Education
610,2010,Humanities,Humanities,NA,NA,NA,NA,American Apparel,Store Manager,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
611,2013,Humanities,Humanities,NA,NA,NA,NA,Arts in Action,Art Teacher,Education,Education,Education,Education
612,2009,Humanities,Humanities,NA,NA,NA,NA,Triangle Community Foundation,Operations Manager,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
613,2008,Humanities,Humanities,NA,NA,NA,NA,"Bronx School for Law, Government and Justice",Special Education Teacher,Education,Education,Education,Education
614,2015,Humanities,Humanities,NA,NA,NA,NA,Tattoo Promotion Factory,Office Assistant,Arts,Arts,Arts and Media,Arts and Media
615,2004,Humanities,Humanities,NA,NA,NA,NA,Hampton Inn,Front Desk Supervisor,Hospitality,Hospitality,"Business, Finance, and Retail","Business, Finance, and Retail"
616,2012,Humanities,Humanities,NA,NA,NA,NA,Driftcatcher LLC,Software Development Lead,Software,Software,STEM,STEM
617,2018,Humanities,Humanities,NA,NA,NA,NA,PSL Services/STRIVE,Education Technician,Education,Education,Education,Education
618,2003,Humanities,Humanities,NA,NA,NA,NA,Alzheimer's Association Queensland,Administration Officer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
619,2012,Humanities,Humanities,NA,NA,NA,NA,Coffee Shop,NA,Food Service,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
620,2002,Humanities,Humanities,NA,NA,NA,NA,Peace Corps,NA,Non Profit,NA,Government and Social Services,Government and Social Services
621,2007,Humanities,Humanities,NA,NA,NA,NA,William Morris Endeavor,Director of Marketing,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
622,2004,Humanities,Humanities,NA,NA,NA,NA,Florida Eye Clinic,Licensed Optician,Healthcare,Healthcare,Health and Medicine,Health and Medicine
623,2004,Humanities,Humanities,NA,NA,NA,NA,Appalachian State Unviersity,Research Associate for Teacher Education Assessmen,Education,Education,Education,Education
624,2011,Humanities,Humanities,NA,NA,NA,NA,Springfield City Library,Reference Librarian,Library,Library,Education,Education
625,2004,Humanities,Humanities,NA,NA,NA,NA,Florida International University,Instructor of Writing and Rhetoric,Education,Education,Education,Education
626,2005,Humanities,Humanities,NA,NA,NA,NA,Center for Adolescent Health - Johns Hopkins,Research Program Coordinator,Public Health,Public Health,Health and Medicine,Health and Medicine
627,2017,Humanities,Humanities,NA,NA,NA,NA,New York Film Academy,Resident Assistant,Education,Education,Education,Education
628,2006,Humanities,Humanities,NA,NA,NA,NA,Manatee Clerk of the Circuit Court,Law Librarian,Law,Law,Government and Social Services,Government and Social Services
629,2012,Humanities,Humanities,NA,NA,NA,NA,Freelance,Energy & Transportation Reporter,Media,NA,Arts and Media,Arts and Media
630,2006,Humanities,Humanities,NA,NA,NA,NA,"Quadrant 2, Inc.",Software Developer,Information Technology,Information Technology,STEM,STEM
631,2003,Humanities,Humanities,NA,NA,NA,NA,Path with Art,Music and Performance Coordinator,Music,Music,Arts and Media,Arts and Media
632,2003,Humanities,Humanities,NA,NA,NA,NA,Oakland Unified School District,Teacher,Education,Education,Education,Education
633,2015,Humanities,Humanities,NA,NA,NA,NA,AmeriCorps,AmeriCorps Member,Non Profit,Non Profit,Government and Social Services,Government and Social Services
634,2004,Humanities,Humanities,NA,NA,NA,NA,"Green Mountain Care Board, State of Vermont",Health Care Policy Analyst,Health Care Consulting,Health Care Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
635,2006,Humanities,Humanities,NA,NA,NA,NA,Airtime,Support Rep,Technology,Technology,STEM,STEM
636,2009,Humanities,Humanities,NA,NA,NA,NA,Cerner Corporation,Project Manager,Healthcare,Healthcare,Health and Medicine,Health and Medicine
637,2005,Humanities,Humanities,NA,NA,NA,NA,University of South Florida,Research Assistant,Education,Education,Education,Education
638,2020,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Breaking The Code,Founder,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
639,2003,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,unknown,Homemaker,Unknown,NA,Unknown,Other
640,2011,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,CCG Analytics,Delivery Coordinator,Information Technology,Information Technology,STEM,STEM
641,2015,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,International Sunshine Home,English Teacher,Education,Education,Education,Education
642,2005,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Cascadian Health,Therapist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
643,2013,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Goethe Institut e.V,Senior Project Manager,Non Profit,Non Profit,Government and Social Services,Government and Social Services
644,2014,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Horn of Africa Services / Americorps,Refugee/Child Social Work,Non Profit,Non Profit,Government and Social Services,Government and Social Services
645,2012,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Unknown,Intern,Unknown,NA,Unknown,Other
646,2015,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Exit Bayshore Realty,Real Estate Agent,Real Estate,Real Estate,"Business, Finance, and Retail","Business, Finance, and Retail"
647,2013,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Lake County Superior Court,Family Law Facilitator/Self-Help Center Attorney,Law,Law,Government and Social Services,Government and Social Services
648,2010,International and Area Studies,Interdisciplinary,NA,NA,NA,NA,Mundo Verde PCS,Lead Teacher,Education,Education,Education,Education
649,2017,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,NA,NA,Unknown,NA,Education,Education,Education,Education
650,2012,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,NA,NA,"GrantWorks, Inc.",Director of Project Management,Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
651,2018,International and Area Studies,Interdisciplinary,Political Science,Social Sciences,NA,NA,Washington Office on Latin America (WOLA),"Asst. Dir. for Partnerships, Development team",International Relations,International Relations,Government and Social Services,Government and Social Services
652,2015,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,GPS Industries,Account Executive,Software,Software,STEM,STEM
653,2013,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Lush,Sales Associate,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
654,2015,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,La Clinica de La Raza,Perinatal Case Manager,Healthcare,Healthcare,Health and Medicine,Health and Medicine
655,2019,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Advanced Technology Group,Solutions Consultant,Information Technology,NA,STEM,STEM
656,2012,French,Humanities,International and Area Studies,Interdisciplinary,NA,NA,TAPIF,English Teacher,Education,Education,Education,Education
657,2013,Gender Studies,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Public Library of Science,Email Marketing Manager,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
658,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Institute for Multi-Trade Diplomacy,Intern,International Economic Development Consulting,International Economic Development Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
659,2009,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Regions Bank,Branch Service Leader,Banking,Banking,"Business, Finance, and Retail","Business, Finance, and Retail"
660,2016,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Samasource,NA,Information Technology,Information Technology,STEM,STEM
661,2013,International and Area Studies,Interdisciplinary,Russian Language and Literature,Humanities,NA,NA,Institute for Multi-Trade Diplomacy,Intern,International Economic Development Consulting,International Economic Development Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
662,2020,Urban Studies,Interdisciplinary,International and Area Studies,Interdisciplinary,NA,NA,City of McCall,Assistant City Planner,City/County/State,City/County/State,Government and Social Services,Government and Social Services
663,2008,Languages and Literature,Interdisciplinary,NA,NA,NA,NA,University of Illinois,Law Student,Law,Law,Government and Social Services,Government and Social Services
664,2009,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Unknown,NA,Library,Library,Education,Education
665,2020,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Fat Dog Spirits,Marketing and Social Media Coordinator,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
666,2013,Literature,Humanities,NA,NA,NA,NA,Self Employed,Au Pair,Education,Education,Education,Education
667,2012,Literature,Humanities,NA,NA,NA,NA,Two Sisters Baking Co.,Owner,Food Service,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
668,2013,Literature,Humanities,NA,NA,NA,NA,Feld Entertainment,Senior Copy Editor,Entertainment,Entertainment,Arts and Media,Arts and Media
669,2003,Literature,Humanities,NA,NA,NA,NA,The Catering Company of Chapel Hill,Event Planner,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
670,2008,Literature,Humanities,NA,NA,NA,NA,Workman Publishin,Production Supervisor,Publishing,Publishing,Arts and Media,Arts and Media
671,2006,Literature,Humanities,NA,NA,NA,NA,The Japan Times,Reporter,Journalism,Journalism,Arts and Media,Arts and Media
672,2010,Literature,Humanities,NA,NA,NA,NA,New College of Florida,Library Assistant,Education,Education,Education,Education
673,2014,Literature,Humanities,NA,NA,NA,NA,Petro Global News,Head Writer,Media,Media,Arts and Media,Arts and Media
674,2013,Literature,Humanities,NA,NA,NA,NA,Colliers International,Digital Marketing Specialist,Real Estate,Real Estate,"Business, Finance, and Retail","Business, Finance, and Retail"
675,2012,Literature,Humanities,NA,NA,NA,NA,IMG Pendelton Academy,Executive Assistant/Tutoring Coordinator,Education,Education,Education,Education
676,2020,Literature,Humanities,NA,NA,NA,NA,Northspyre,Business Development Associate,Business,Business,"Business, Finance, and Retail","Business, Finance, and Retail"
677,2005,Literature,Humanities,NA,NA,NA,NA,Unknown,NA,Educational Services,Educational Services,Education,Education
678,2011,Literature,Humanities,NA,NA,NA,NA,LT Apparel,Receptionist,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
679,2002,Literature,Humanities,NA,NA,NA,NA,Texas State Library and Archives Commision,Reference Archivist,Library,Library,Education,Education
680,2003,Literature,Humanities,NA,NA,NA,NA,Graded-American School of Sao Paulo,Teacher,Education,Education,Education,Education
681,2008,Literature,Humanities,NA,NA,NA,NA,Mutt Industries,Copywriter/Community Manager,Arts,Arts,Arts and Media,Arts and Media
682,2011,Literature,Humanities,NA,NA,NA,NA,Maryland Historical Society,Development Coordinator,Development,Development,Government and Social Services,Government and Social Services
683,2005,Literature,Humanities,NA,NA,NA,NA,Tufts University,Admin. Assistant,Education,Education,Education,Education
684,2016,Literature,Humanities,NA,NA,NA,NA,Unknown,NA,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
685,2006,Literature,Humanities,NA,NA,NA,NA,self employed,Functional Medicine Chef,Food,Food,"Business, Finance, and Retail","Business, Finance, and Retail"
686,2005,Literature,Humanities,NA,NA,NA,NA,Congressional Quarterly,Deputy Editor,Media,Media,Arts and Media,Arts and Media
687,2008,Literature,Humanities,NA,NA,NA,NA,National Skills Coalition,National Network Associate,Government,Government,Government and Social Services,Government and Social Services
688,2018,Literature,Humanities,Anthropology,Social Sciences,NA,NA,Sarasota Contemporary Dance,General Manager,Performing Arts,Performing Arts,Arts and Media,Arts and Media
689,2004,Literature,Humanities,Spanish Language and Literature,Humanities,NA,NA,Southeastern Louisiana University,Assistant Professor of English,Education,Education,Education,Education
690,2008,Art,Humanities,Literature,Humanities,NA,NA,Teamworks Keller Williams,Buyer Specialist,Real Estate,Real Estate,"Business, Finance, and Retail","Business, Finance, and Retail"
691,2004,Classics,Humanities,Literature,Humanities,NA,NA,Generation Rwanda,Director of Marketing & Development,Non Profit,Non Profit,Government and Social Services,Government and Social Services
692,2015,Literature,Humanities,Gender Studies,Social Sciences,NA,NA,Petco,Merchandise Operations Leader,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
693,2015,Literature,Humanities,Gender Studies,Social Sciences,NA,NA,Presence,Director of Marketing,Online Media,Online Media,Arts and Media,Arts and Media
694,2005,Literature,Humanities,Gender Studies,Social Sciences,NA,NA,Unknown,Teacher - High School,Education,Education,Education,Education
695,2005,Literature,Humanities,Gender Studies,Social Sciences,NA,NA,Carrera Adolescent Pregnancy Prevention Program,Education Coordinator,Education,Education,Education,Education
696,2015,German Language and Literature,Humanities,Literature,Humanities,NA,NA,St. Laurent Properties,Property Manager,Real Estate,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
697,2002,Literature,Humanities,Spanish Language and Culture,Humanities,NA,NA,Nova Southeastern University,Assistant Professor of Counseling,Education,Education,Education,Education
698,2019,"Theater, Dance and Performance Studies",Humanities,Literature,Humanities,NA,NA,Sarasota Contemporary Dance,Company Member & Dance Performer,Performing Arts,Performing Arts,Arts and Media,Arts and Media
699,2015,Literature,Humanities,Political Science,Social Sciences,NA,NA,Uri L'Tzedek,Program Manager,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
700,2007,Literature,Humanities,Religion,Humanities,NA,NA,(Re)birthing Collective,Doula,Medicine,Medicine,Health and Medicine,Health and Medicine
701,2011,Spanish Language and Literature,Humanities,Literature,Humanities,NA,NA,University of Denver,"Associate Director, Constituency Programs & Giving",Education,Education,Education,Education
702,2011,Spanish Language and Literature,Humanities,Literature,Humanities,NA,NA,Emory University,NA,Education,Education,Education,Education
703,2020,Marine Biology,Natural Sciences,NA,NA,NA,NA,Mote Marine Laboratory,Ocean Acidification Research Technician,Marine,Marine,STEM,STEM
704,2015,Marine Biology,Natural Sciences,NA,NA,NA,NA,Aquatica Tropicals,Biologist,Food,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
705,2019,Marine Biology,Natural Sciences,NA,NA,NA,NA,Girl Scouts of West Central Florida,STEM and Program Specialist,Education,NA,Education,Education
706,2020,Marine Biology,Natural Sciences,NA,NA,NA,NA,USDA Animal and Plant Health Inspection Service (APHIS),Biological Science Technician,Government,NA,Government and Social Services,Government and Social Services
707,2014,Marine Biology,Natural Sciences,NA,NA,NA,NA,Milk Studios,Barista,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
708,2012,Marine Biology,Natural Sciences,NA,NA,NA,NA,Smithers Environmental Risk Sciences Division,Biologist II,Environmental,NA,STEM,STEM
709,2003,Marine Biology,Natural Sciences,NA,NA,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
710,2015,Marine Biology,Natural Sciences,NA,NA,NA,NA,Manatee County Parks and Natural Resources,Education Volunteer Specialist,Government,Government,Government and Social Services,Government and Social Services
711,2016,Marine Biology,Natural Sciences,NA,NA,NA,NA,GNS Electric Inc,Office Manager,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
712,2015,Marine Biology,Natural Sciences,NA,NA,NA,NA,Stocking Savvy,Owner,Environmental,NA,STEM,STEM
713,2012,Marine Biology,Natural Sciences,NA,NA,NA,NA,Animal Rescue Coalition,Program Manager,Non Profit,Non Profit,Government and Social Services,Government and Social Services
714,2020,Marine Biology,Natural Sciences,NA,NA,NA,NA,Davenport School of the Arts,Teacher,Education,Education,Education,Education
715,2002,Psychology,Social Sciences,Marine Biology,Natural Sciences,NA,NA,U.S. Fish and Wildlife Service,Environmental Education,Government,Government,Government and Social Services,Government and Social Services
716,2018,Chinese Language and Culture,Humanities,Marine Biology,Natural Sciences,NA,NA,Saint Stephen's Episcopal School,Coordinator of Campus Activities,Education,Education,Education,Education
717,2008,Mathematics,Natural Sciences,NA,NA,NA,NA,United States Military Academy,Assistant Professor,Education,Education,Education,Education
718,2006,Mathematics,Natural Sciences,NA,NA,NA,NA,HRL Laboratories,Research Staff,Research,Research,STEM,STEM
719,2015,Mathematics,Natural Sciences,NA,NA,NA,NA,"HRL Laboratories, LLC",Machine Learning Engineer,Engineering,Engineering,STEM,STEM
720,2003,Mathematics,Natural Sciences,NA,NA,NA,NA,FICO,Lead Analytic Scientist,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
721,2009,Mathematics,Natural Sciences,NA,NA,NA,NA,Next Games,Senior Data Scientist,Data Science,Data Science,STEM,STEM
722,2013,Mathematics,Natural Sciences,NA,NA,NA,NA,Sea Breeze High School,Math Teacher,Education,Education,Education,Education
723,2002,Mathematics,Natural Sciences,NA,NA,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
724,2003,Mathematics,Natural Sciences,NA,NA,NA,NA,DTCC,Sr Financial Risk Manager,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
725,2008,Mathematics,Natural Sciences,NA,NA,NA,NA,Unknown,NA,Software,Software,STEM,STEM
726,2013,Mathematics,Natural Sciences,NA,NA,NA,NA,Akamai Technologies,Sr. Performance Engineer,Engineering,Engineering,STEM,STEM
727,2005,Mathematics,Natural Sciences,NA,NA,NA,NA,E'lir Capital LLC & Stormlight Capital,Founder/Private Investor,Investments,Investments,"Business, Finance, and Retail","Business, Finance, and Retail"
728,2012,Mathematics,Natural Sciences,NA,NA,NA,NA,University of Arizona,Ph.D. Candidate,Education,Education,Education,Education
729,2019,Mathematics,Natural Sciences,NA,NA,NA,NA,High School,Teacher/ Math,Education,Education,Education,Education
730,2017,Mathematics,Natural Sciences,Computer Science,Natural Sciences,NA,NA,MIT Media Lab,Research Intern,Education,Education,Education,Education
731,2003,Mathematics,Natural Sciences,Physics,Natural Sciences,NA,NA,CA Technologies,Data Scientist,Information Technology,Information Technology,STEM,STEM
732,2008,Mathematics,Natural Sciences,Computer Science,Natural Sciences,NA,NA,"Big Nerd Ranch, Inc.",Software Engineer,Technology,Technology,STEM,STEM
733,2005,Medieval & Renaissance Studies,Interdisciplinary,NA,NA,NA,NA,Jefferson Middle/High School,Social Studies Teacher,Education,Education,Education,Education
734,2011,Medieval & Renaissance Studies,Interdisciplinary,NA,NA,NA,NA,UNC at Chapel Hill,Library Science Graduate Student,Library,Library,Education,Education
735,2015,Medieval & Renaissance Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,LVVS,Assistant,Medicine,Medicine,Health and Medicine,Health and Medicine
736,2010,Spanish Language and Literature,Humanities,Medieval & Renaissance Studies,Interdisciplinary,NA,NA,Diocese of Venice,Seminarian,Religion,Religion,Government and Social Services,Government and Social Services
737,2020,Music,Humanities,NA,NA,NA,NA,Tallahassee Classical School,Teacher,Education,Education,Education,Education
738,2007,Music,Humanities,NA,NA,NA,NA,health adventure,Musician/Composer,Music,Music,Arts and Media,Arts and Media
739,2013,Music,Humanities,NA,NA,NA,NA,Four Winds Cafe,Manager,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
740,2012,Music,Humanities,NA,NA,NA,NA,Lee County School District,Teacher,Education,Education,Education,Education
741,2008,Music,Humanities,NA,NA,NA,NA,Agnes Scott College,SUMMIT Advisor,Education,Education,Education,Education
742,2013,Music,Humanities,NA,NA,NA,NA,Coyote Kissies,Musician,Music,Music,Arts and Media,Arts and Media
743,2007,Music,Humanities,NA,NA,NA,NA,Decoded Advertising,Senior Motion Artist,Arts,Arts,Arts and Media,Arts and Media
744,2015,Music,Humanities,NA,NA,NA,NA,New College Foundation,Alumnae/i and Special Projects Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
745,2004,Music,Humanities,NA,NA,NA,NA,HealthMetrics Partners,Analyst,Healthcare Services,Healthcare Services,Health and Medicine,Health and Medicine
746,2004,Music,Humanities,German Language and Literature,Humanities,NA,NA,Curtis Institute of Music,Professor of Music,Education,Education,Education,Education
747,2015,Natural Sciences,Natural Sciences,Music,Humanities,NA,NA,JET Program,Assistant Language Teacher,Education,Education,Education,Education
748,2010,Music,Humanities,Psychology,Social Sciences,NA,NA,Florida Southwestern State College,"Coordinator of Assessment, Accountability & Effect",Education,NA,Education,Education
749,2020,Humanities,Humanities,NA,NA,NA,NA,Isotropical Games,Composer,Music,Music,Arts and Media,Arts and Media
750,2012,"Theater, Dance and Performance Studies",NA,NA,NA,NA,NA,Nelly Berman School of Music,Administrative Assistant,Education,Education,Education,Education
751,2014,Music,Humanities,Economics,Social Sciences,NA,NA,World Performance Records,Audio Engineer and Producer,Music,Music,Arts and Media,Arts and Media
752,2005,Spanish Language and Culture,Humanities,Music,Humanities,NA,NA,New College of Florida,clerical support,Education,Education,Education,Education
753,2004,Music,Humanities,Physics,Natural Sciences,NA,NA,TUNE,Software Development Manager,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
754,2014,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Microsoft Store,Services Advisor,Software,Software,STEM,STEM
755,2015,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Scribe America,Medical Scribe,Medical,Medical,Health and Medicine,Health and Medicine
756,2011,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Shopify,Front End Developer,Technology,Technology,STEM,STEM
757,2013,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Star2Star Communications,Data Scientist,Data Science,Data Science,STEM,STEM
758,2009,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Nielsen,Data Processing Specialist,Media,Media,Arts and Media,Arts and Media
759,2013,Natural Sciences,Natural Sciences,NA,NA,NA,NA,University of Florida Whitney Lab,Biogeochemistry Lab Tech,Research,Research,STEM,STEM
760,2006,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Falon Land Studio LLC,Landscape Architect,Environmental,Environmental,STEM,STEM
761,2004,Natural Sciences,Natural Sciences,NA,NA,NA,NA,"East Carolina University, Brody School of Medicine",Clinical Research Nurse Specialist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
762,2017,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Mathnasium,Lead instructor,Education,Education,Education,Education
763,2015,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Jewish National Health,Bioinformatics Program,Medical,Medical,Health and Medicine,Health and Medicine
764,2012,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Sarasota Middle School,Math Teacher,Education,Education,Education,Education
765,2013,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Star2Star Communications,Programmer,Technology,Technology,STEM,STEM
766,2011,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Millennium Management,Quantitative Research Analyst,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
767,2003,Natural Sciences,Natural Sciences,NA,NA,NA,NA,ACLU of FL,Civil Libertarian,Non Profit,Non Profit,Government and Social Services,Government and Social Services
768,2011,Natural Sciences,Natural Sciences,NA,NA,NA,NA,New College Child Center,Assistant Director,Education,Education,Education,Education
769,2020,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Ramapo for Children,School-Age Child Care (SACC) Program Site Supervis,Educational Services,Educational Services,Education,Education
770,2015,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Feathr,Customer Success Manager,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
771,2011,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Score At The Top Learning Centers & Schools,Teacher,Education,Education,Education,Education
772,2015,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Reynolds and Reynolds Company,Software Developer,Computer Software,Computer Software,STEM,STEM
773,2009,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Scripps Mercy Hospital,Doctor (Resident),Medical,Medical,Health and Medicine,Health and Medicine
774,2013,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Freelance reporter,NA,Media,NA,Arts and Media,Arts and Media
775,2020,Natural Sciences,Natural Sciences,NA,NA,NA,NA,"Hale Law, P.A.",Case Manager,Law,Law,Government and Social Services,Government and Social Services
776,2013,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Guitar Center,Sales Associate,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
777,2013,Natural Sciences,Natural Sciences,NA,NA,NA,NA,Self Employed,NA,Unknown,NA,Unknown,Other
778,2016,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Boston University - CTE Center,Research Assistant,Education,NA,Education,Education
779,2020,Neuroscience,Interdisciplinary,NA,NA,NA,NA,SystImmune,Research Associate II,Research,Research,STEM,STEM
780,2012,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Student Business Services CO-OP of Sarasota at Copytalk,Scribe and Quality Assurance,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
781,2020,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Roskamp Institute,Research Assistant,Research,Research,STEM,STEM
